IDCAPTURA,IDVISITA,FRENTES CORE SECO,FRENTES LIGHT SECO,FRENTES CARBONATADA SECO,FRENTES CORE FRIO,FRENTES LIGHT FRIO,FRENTES CARBONATADA FRIO,PRECIO CORE,MATERIAL POP,EXHIBICION ADICIONAL,PROMOCION,PROMOCION SEÑALIZADA,SOS SECO,SOS FRIO,SOS EXHIBICIONES ADICIONALES
41900879,3653677,21,,,26,,,16.01,SI,NO,SI,SI,,,
41900880,3653686,18,,,4,,,20.5,NO,NO,NO,,13.781,5.5668,
41900881,3653687,21,,,18,,,18.9,NO,NO,NO,,,,
41900882,3653697,46,,,,,,19.5,SI,NO,NO,,49.1097,,
41900883,3653702,7,,,,,,18.9,SI,NO,NO,,5.8738,,
41900884,3653704,,,,21,,,18.75,NO,NO,NO,,,19.42,
41900885,3653710,9,,,,,,18.9,NO,NO,NO,,,,
41900886,3653715,,,,14,,,18.75,SI,NO,NO,,,7.4934,
41900887,3653740,,,,,,,,NO,NO,NO,,,,
41900888,3653741,17,,,,,,18.75,NO,NO,NO,,22.3405,,
41900889,3653745,10,,,,,,19.5,SI,NO,NO,,14.6252,,
41900890,3653748,,,,,,,,NO,NO,NO,,,16.1228,
41900891,3653749,,,,13,,,19.5,NO,NO,NO,,,6.4407,
41900892,3653751,34,,,39,,,18.2,NO,NO,NO,,,29.4315,
41900893,3653758,11,,,,,,19.5,NO,NO,NO,,62.1135,,
41900894,3653782,4,,,,,,18.75,NO,NO,NO,,5.8372,,
41900895,3653816,99,,,,,,18,NO,NO,NO,,51.8237,,
41900896,3653822,,,,38,,,18.75,SI,NO,NO,,,17.8724,
41900897,3653850,,,,11,,,20.5,SI,NO,NO,,,6.9357,
41900898,3653860,34,,,,,,20.5,SI,NO,NO,,32.8334,,
41900899,3653872,13,,,,,,19.5,NO,NO,NO,,13.5213,,
41900900,3653873,14,,,,,,19.5,NO,NO,NO,,21.0576,,
41900901,3653890,27,,,,,,20.5,NO,NO,NO,,19.4705,,
41900902,3653892,,,,7,,,18.75,SI,NO,NO,,,11.696,
41900903,3653897,,,,20,,,10.5,SI,NO,NO,,27.7978,,
41900904,3653905,,,,,,,18.75,NO,NO,NO,,,,
41900905,3653908,4,,,,,,18.75,NO,NO,NO,,3.1425,,
41900906,3653914,,,,16,,,18.75,NO,NO,NO,,,57.8542,
41900907,3653932,,,,,,,,NO,NO,NO,,,5.893,
41900908,3653933,,,,,,,,NO,NO,NO,,,6.6574,
41900909,3653934,15,,,15,,,19.5,NO,NO,NO,,,,
41900910,3653942,,,,16,,,18.9,SI,NO,NO,,,13.9471,
41900911,3653947,40,,,25,,,18.75,SI,NO,NO,,15.8531,14.016,
41900912,3653950,21,,,,,,20.5,NO,NO,NO,,,,
41900913,3653952,6,,,29,,,19.5,SI,NO,NO,,,,
41900914,3653954,,,,10,,,18.2,NO,NO,NO,,,11.6998,
41900915,3653956,14,,,,,,19.5,NO,NO,NO,,15.5738,,
41900916,3653957,10,,,8,,,18.2,SI,NO,NO,,10.6725,6.2813,
41900917,3653960,10,,,8,,,18.75,NO,NO,SI,SI,4.9473,,
41900918,3653977,44,,,,,,19.5,SI,NO,NO,,44.6539,,
41900919,3653985,9,,,4,,,18.9,NO,NO,NO,,13.3653,5.7048,
41900920,3653986,42,,,,,,18.5,NO,NO,NO,,,,
41900921,3654002,42,,,,,,19.5,NO,NO,NO,,19.4907,,
41900922,3654006,,,,60,,,19.5,NO,NO,NO,,21.4711,,
41900923,3654020,12,,,,,,18.75,NO,NO,NO,,19.0736,,
41900924,3654029,,,,9,,,18.75,NO,NO,NO,,,11.8995,
41900925,3654040,11,,,36,,,19.5,NO,NO,NO,,4.8746,44.1849,
41900926,3654044,40,,,9,,,19.5,SI,NO,NO,,26.5014,13.8847,
41900927,3654052,28,,,,,,20.5,NO,NO,NO,,18.9482,,
41900928,3654055,28,,,,,,19.5,NO,SI,NO,,47.2734,,
41900929,3654058,17,,,,,,19.5,NO,NO,NO,,8.9037,,
41900930,3654067,,,,12,,,19.5,NO,NO,NO,,,,
41900931,3654068,11,,,,,,18.75,SI,NO,NO,,,,
