IDPRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,SUBMARCA,CAPACIDAD,SABOR,PRESENTACION
567,BEBIDAS,AGUA,AGUA,CORE,300,DURAZNO,PET
568,BEBIDAS,AGUA,AGUA,CORE,300,UVA,PET
569,BEBIDAS,AGUA,AGUA,CORE,300,MANGO PIÑA,PET
570,BEBIDAS,AGUA,AGUA,CORE,300,FRESA,PET
571,BEBIDAS,AGUA,AGUA,CORE,300,MANZANA VERDE KIWI,PET
572,BEBIDAS,AGUA,AGUA,CORE,300,MARACUYA,PET
573,BEBIDAS,AGUA,AGUA,CORE,300,MANDARINA,PET
574,BEBIDAS,AGUA,AGUA,CORE,750,DURAZNO,PET
575,BEBIDAS,AGUA,AGUA,CORE,473,DURAZNO,SQUAD
576,BEBIDAS,AGUA,AGUA,CORE,473,UVA,SQUAD
577,BEBIDAS,AGUA,AGUA,CORE,300,ARANDANO,PET
2912,BEBIDAS,AGUA,AGUA,CORE,355,DURAZNO,SQUAD
579,BEBIDAS,AGUA,AGUA,CORE,300,LIMON,PET
580,BEBIDAS,AGUA,AGUA,LIGHT,300,DURAZNO LIGHT,PET
10893,BEBIDAS,AGUA,AGUA,CORE,355,MANGO PIÑA,LEAN
10891,BEBIDAS,AGUA,AGUA,CORE,355,UVA,LEAN
10892,BEBIDAS,AGUA,AGUA,CORE,355,DURAZNO,LEAN
11044,BEBIDAS,AGUA CARBONATADA,AGUA,CARBONATADA,300,JAMAICA,PET
11045,BEBIDAS,AGUA CARBONATADA,AGUA,CARBONATADA,300,LIMA LIMON,PET
11089,BEBIDAS,AGUA,AGUA,LIGHT,300,TORONJA,PET
