IDTIENDA,SEGMENTO,SUBSEGMENTO,GRUPO,CADENA,IDTIENDACADENA,NOMBRE,FORMATO,CLASIFICACION,CIUDAD,ESTADO,AREA NIELSEN,REGION
5284,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,413,LA COMER NUEVO VALLARTA,LA COMER,AA,NUEVO VALLARTA,NAYARIT,AREA 1,AREA I  PACIFICO
5285,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,408,CITY MARKET ANTEA,CITY MARKET,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5286,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,137,FRESKO PABELLON BOSQUES,FRESKO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5287,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,168,LA COMER QRO. ESTADIO,LA COMER,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5288,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,240,SUMESA PLAZA SAN DIEGO,SUMESAS,AA,CUERNAVACA,MORELOS,AREA 4,AREA IV  CENTRO
5289,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,10,LA COMER IRAPUATO,LA COMER,AA,IRAPUATO,GUANAJUATO,AREA 3,AREA III  BAJIO
5290,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,379,CITY MARKET SANTA FE,CITY MARKET,AAA,CDMX,CDMX,AREA 5,AREA V  VDM
5291,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,14,LA COMER LOMAS ANAHUAC,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5292,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,76,FRESKO VALLARTA,FRESKO,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5293,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,131,LA COMER OLIVAR,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5294,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,55,LA COMER VILLA COAPA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5295,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,401,FRESKO JURIQUILLA,FRESKO,AA,JURIQUILLA,QUERETARO,AREA 4,AREA IV  CENTRO
5296,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,6,LA COMER QUERETARO ZARAGOZA,LA COMER,AA,QUERETARO,QUERETARO,AREA 4,AREA IV  CENTRO
5297,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,309,LA COMER GUANAJUATO POZUELOS,LA COMER,AA,GUANAJUATO,GUANAJUATO,AREA 3,AREA III  BAJIO
5298,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,404,FRESKO PLAZA MAYOR LEON,FRESKO,AA,LEON,GUANAJUATO,AREA 3,AREA III  BAJIO
5299,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,406,FRESKO SANIA,FRESKO,AA,GUADALAJARA,JALISCO,AREA 3,AREA III  BAJIO
5300,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,418,CITY MARKET RIO MAYO,CITY MARKET,AAA,CUERNAVACA,MORELOS,AREA 4,AREA IV  CENTRO
5301,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,22,LA COMER SATELITE,LA COMER,AA,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,AREA 5,AREA V  VDM
5302,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,112,LA COMER SANTA MARIA LA RIBERA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5303,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,233,SUMESA OAXACA,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5304,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,235,SUMESA VALLE,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5305,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,289,LA COMER TORRES SATELITE,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5306,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,380,CITY MARKET SAN JERONIMO,CITY MARKET,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5307,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,107,LA COMER MANZANILLO,LA COMER,AA,MANZANILLO,COLIMA,AREA 3,AREA III  BAJIO
5308,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,17,LA COMER TLALPAN,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5309,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,230,SUMESA COLIMA,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5310,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,12,LA COMER VALLE DORADO,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5311,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,34,LA COMER URUAPAN,LA COMER,AA,URUAPAN,MICHOACAN,AREA 3,AREA III  BAJIO
5312,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,232,SUMESA LONDRES,SUMESAS,A,CDMX,CDMX,AREA 5,AREA V  VDM
5313,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,20,LA COMER LA HERRADURA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5314,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,417,CITY MARKET METEPEC,CITY MARKET,AAA,METEPEC,ESTADO DE MEXICO,AREA 4,AREA IV  CENTRO
5315,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,412,FRESKO CUERNAVACA,FRESKO,AA,CUERNAVACA / CUATLA,MORELOS,AREA 4,AREA IV  CENTRO
5316,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,324,LA COMER IGUALA,LA COMER,AA,IGUALA,GUERRERO,AREA 4,AREA IV  CENTRO
5317,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,287,LA COMER COYOACAN,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
5318,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,415,LA COMER VALLARTA FLUVIAL,LA COMER,AA,PUERTO VALLARTA,JALISCO,AREA 3,AREA III  BAJIO
5319,AUTOSERVICIOS,GRANDES CADENAS,CITY FRESKO,CITY FRESKO,375,LA COMER BOSQUE ESMERALDA,LA COMER,AA,CDMX,CDMX,AREA 5,AREA V  VDM
